> x=-6.568, y=-6.855, z=24.274
FracGL -> x=-9.217, y=-11.024, z=25.441
FracGL -> x=-9.226, y=-11.030, z=25.460
FracGL -> x=-9.236, y=-11.036, z=25.478
FracGL -> x=-9.246, y=-11.043, z=25.497
FracGL -> x=-9.255, y=-11.049, z=25.515
FracGL -> x=-9.265, y=-11.055, z=25.534
FracGL -> x=-9.274, y=-11.061, z=25.553
FracGL -> x=-9.284, y=-11.067, z=25.571
FracGL -> x=-9.294, y=-11.073, z=25.590
FracGL -> x=-9.303, y=-11.079, z=25.609
FracGL -> x=-9.313, y=-11.085, z=25.628
FracGL -> x=-9.322, y=-11.090, z=25.647
FracGL -> x=-9.332, y=-11.096, z=25.666
FracGL -> x=-9.341, y=-11.101, z=25.685
FracGL -> x=-9.350, y=-11.107, z=25.705
FracGL -> x=-9.360, y=-11.112, z=25.724
FracGL -> x=-9.369, y=-11.117, z=25.743
FracGL -> x=-9.379, y=-11.122, z=25.763
FracGL -> x=-9.388, y=-11.127, z=25.782
FracGL -> x=-9.397, y=-11.132, z=25.801
FracGL -> x=-9.406, y=-11.137, z=25.821
FracGL -> x=-9.416, y=-11.142, z=25.840
FracGL -> x=-9.425, y=-11.147, z=25.860
FracGL -> x=-9.434, y=-11.151, z=25.880
FracGL -> x=-9.443, y=-11.156, z=25.899
FracGL -> x=-9.452, y=-11.160, z=25.919
FracGL -> x=-9.461, y=-11.164, z=25.939
FracGL -> x=-9.471, y=-11.168, z=25.959
FracGL -> x=-9.480, y=-11.172, z=25.979
FracGL -> x=-9.489, y=-11.176, z=25.999
FracGL -> x=-9.498, y=-11.180, z=26.019
FracGL -> x=-9.507, y=-11.184, z=26.039
FracGL -> x=-9.516, y=-11.188, z=26.059
FracGL -> x=-9.525, y=-11.191, z=26.079
FracGL -> x=-9.533, y=-11.195, z=26.099
FracGL -> x=-9.542, y=-11.198, z=26.119
FracGL -> x=-9.551, y=-11.202, z=26.140
FracGL -> x=-9.560, y=-11.205, z=26.160
FracGL -> x=-9.569, y=-11.208, z=26.180
FracGL -> x=-9.577, y=-11.211, z=26.200
FracGL -> x=-9.586, y=-11.214, z=26.221
FracGL -> x=-9.595, y=-11.217, z=26.241
FracGL -> x=-9.603, y=-11.219, z=26.262
FracGL -> x=-9.612, y=-11.222, z=26.282
FracGL -> x=-9.621, y=-11.224, z=26.303
FracGL -> x=-9.629, y=-11.227, z=26.323
FracGL -> x=-9.638, y=-11.229, z=26.344
FracGL -> x=-9.646, y=-11.231, z=26.365
FracGL -> x=-9.654, y=-11.233, z=26.385
